goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
0,Tempe,AZ,33.416067,-111.9342917,2.5,6,70,TRUE,none,,,1,,,,TRUE,,
1,Tempe,AZ,33.407717,-111.950803,3,47,62,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.480105,-112.0813612,3.5,16,47,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.04181594,-115.2781725,4.5,573,2452,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
0,Montreal,QC,45.508346,-73.5602589,5,10,4,TRUE,none,,,2,,,,,,
1,Phoenix,AZ,33.320748,-111.991549,3.5,3,9,FALSE,none,average,casual,2,FALSE,,,TRUE,TRUE,
0,Montral,QC,45.523503,-73.595098,5,84,132,TRUE,none,,,1,,,,,,
1,Tempe,AZ,33.3613512,-111.9105458,3.5,34,67,FALSE,beer_and_wine,average,,2,,FALSE,outdoor,FALSE,,
1,Las Vegas,NV,36.125908,-115.197904,3,142,508,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Las Vegas,NV,36.10261608,-115.1674434,3.5,11,13,TRUE,none,,,1,,,,,,
1,Charlotte,NC,35.20664473,-80.83555698,3,62,143,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,Charlotte,NC,35.0529404,-80.7697086,5,3,3,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
0,Phoenix,AZ,33.641254,-111.995525,3,13,67,TRUE,none,,,2,,,,,,
1,Avondale,AZ,33.465,-112.278114,2.5,45,281,TRUE,full_bar,average,casual,2,FALSE,FALSE,outdoor,TRUE,FALSE,
0,Phoenix,AZ,33.435146,-111.998367,3,15,78,FALSE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Pittsburgh,PA,40.4488962,-79.9889475,3,16,88,TRUE,full_bar,very_loud,,2,,TRUE,yes,TRUE,,
1,Madison,WI,43.130005,-89.303977,2.5,15,33,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,FALSE,FALSE,
0,Phoenix,AZ,33.30574795,-112.0561695,3.5,11,10,FALSE,none,,,2,,,,TRUE,,
1,Scottsdale,AZ,33.6382753,-111.8632113,4.5,13,14,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,TRUE,
1,Glendale,AZ,33.5683694,-112.1860138,1,3,29,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,Las Vegas,NV,36.1155262,-115.2085247,3.5,179,481,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Charlotte,NC,35.137534,-80.739321,3.5,14,26,TRUE,beer_and_wine,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Las Vegas,NV,36.1144864,-115.1216788,3,15,3,FALSE,full_bar,,casual,3,FALSE,TRUE,,FALSE,,
1,Surprise,AZ,33.6251795,-112.4143802,4,151,388,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
0,Queen Creek,AZ,33.25539,-111.62019,4.5,8,24,TRUE,none,,,1,,,,,,
1,Pittsburgh,PA,40.4582511,-79.9251169,3,15,9,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.125886,-115.203317,3.5,28,102,FALSE,none,quiet,casual,1,TRUE,,,FALSE,TRUE,
1,Las Vegas,NV,36.1121766,-115.1727967,3.5,162,356,TRUE,full_bar,average,casual,2,FALSE,,,FALSE,FALSE,
0,Urbana,IL,40.1041806,-88.2267204,2,4,4,TRUE,none,,,3,,,,FALSE,,
1,Glendale,AZ,33.6390308,-112.1850369,3.5,40,312,FALSE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,TRUE,
0,Pittsburgh,PA,40.4586225,-79.9294051,4,27,199,TRUE,none,,,2,,TRUE,,,,
0,Pittsburgh,PA,40.47586,-79.919459,4,4,20,TRUE,none,,,2,,,,,,
1,Edinburgh,EDH,55.94878512,-3.192357476,3.5,22,28,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,TRUE
1,Montral,QC,45.50550112,-73.55716968,4,12,10,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,,
1,Montreal,QC,45.5079955,-73.5595129,3,28,37,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Phoenix,AZ,33.6534875,-112.0292861,2.5,10,208,TRUE,none,,,2,,TRUE,,,,
1,Phoenix,AZ,33.4797626,-112.0914029,4,84,246,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Scottsdale,AZ,33.4956673,-111.9330396,4.5,15,156,FALSE,full_bar,average,casual,1,TRUE,,,FALSE,,
1,Phoenix,AZ,33.4504587,-112.0740771,3,32,101,FALSE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Glendale,AZ,33.584254,-112.186859,3.5,7,14,TRUE,beer_and_wine,average,,2,,,,FALSE,,
1,Las Vegas,NV,36.09474945,-115.2976303,3.5,77,163,TRUE,beer_and_wine,average,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Karlsruhe,BW,49.00038,8.38557,3.5,32,7,TRUE,beer_and_wine,very_loud,casual,2,FALSE,TRUE,no,FALSE,FALSE,TRUE
1,Charlotte,NC,35.068652,-80.8414279,3,37,101,FALSE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.3051079,-111.9994,4.5,7,9,FALSE,beer_and_wine,quiet,casual,2,,FALSE,,FALSE,FALSE,
1,Phoenix,AZ,33.4875737,-112.082376,3.5,56,227,FALSE,full_bar,average,,1,,,outdoor,FALSE,,
0,Glendale,AZ,33.538431,-112.1987305,1.5,3,34,TRUE,none,,,,FALSE,,,,,
0,Phoenix,AZ,33.34816193,-111.9819001,3.5,5,67,TRUE,none,,,2,,,,FALSE,,
0,Edinburgh,EDH,55.95190305,-3.196034431,4.5,3,7,TRUE,none,,,2,,,,TRUE,,
1,Phoenix,AZ,33.67921125,-111.9657898,3.5,152,537,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
1,Phoenix,AZ,33.48375639,-112.0753359,4.5,84,298,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Henderson,NV,36.06257,-115.048562,3,13,67,FALSE,none,,,2,,,,TRUE,,
1,Henderson,NV,36.0143056,-115.1175105,3.5,11,30,FALSE,none,,casual,1,,,,FALSE,,
1,Crafton,PA,40.44087752,-80.06890344,4.5,9,30,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Phoenix,AZ,33.48254,-112.030578,4,6,6,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,36.1795052,-115.2422213,3.5,6,10,TRUE,full_bar,average,,2,,,,FALSE,,
1,Madison,WI,43.084781,-89.376208,4.5,96,184,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,no,TRUE,FALSE,
0,Montral,QC,45.5200264,-73.5743041,5,4,3,TRUE,none,,,2,,FALSE,,,,
1,Madison,WI,43.075287,-89.3906,3.5,58,38,TRUE,beer_and_wine,quiet,casual,1,FALSE,FALSE,,FALSE,TRUE,TRUE
1,Las Vegas,NV,36.1407035,-115.1823137,3.5,258,322,TRUE,full_bar,average,dressy,3,FALSE,TRUE,,FALSE,TRUE,FALSE
1,Gilbert,AZ,33.365858,-111.789656,4,111,321,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
0,Pittsburgh,PA,40.370014,-79.981995,3.5,4,14,TRUE,none,,,3,,,,,,
0,Las Vegas,NV,36.10737645,-115.1738885,3.5,9,62,TRUE,none,,,2,,TRUE,,TRUE,,
0,Henderson,NV,36.0803239,-115.0535988,3.5,11,27,TRUE,none,,,1,,,,,,
1,Charlotte,NC,35.203015,-80.86443,4,554,1251,TRUE,full_bar,loud,casual,2,FALSE,TRUE,,TRUE,TRUE,FALSE
0,Edinburgh,EDH,55.93406579,-3.210801535,3.5,8,27,TRUE,none,,casual,4,,,,TRUE,,
0,Henderson,NV,36.0709762,-115.0735699,3.5,6,4,FALSE,beer_and_wine,,casual,1,FALSE,FALSE,,TRUE,,
1,Phoenix,AZ,33.4663506,-112.1711226,3.5,9,36,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,,
1,Waterloo,ON,43.4770992,-80.5256905,4,8,8,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.5163421,-112.0822543,4,63,120,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Madison,WI,43.05775833,-89.51388891,3,16,64,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Scottsdale,AZ,33.538426,-111.88674,2.5,10,83,TRUE,none,very_loud,casual,1,FALSE,FALSE,,TRUE,TRUE,
0,Mesa,AZ,33.3941983,-111.839969,2.5,7,23,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Charlotte,NC,35.218943,-80.812386,3.5,287,301,FALSE,full_bar,average,casual,1,FALSE,TRUE,yes,FALSE,TRUE,FALSE
1,Edinburgh,EDH,55.9571631,-3.1872526,3.5,15,22,TRUE,full_bar,average,dressy,3,FALSE,FALSE,,FALSE,,
1,Phoenix,AZ,33.4475173,-112.0742715,3.5,53,423,TRUE,full_bar,very_loud,casual,2,FALSE,FALSE,outdoor,FALSE,FALSE,
0,Chandler,AZ,33.346843,-111.877144,4,7,11,TRUE,none,,,2,,,,,,
0,Las Vegas,NV,36.1129599,-115.1727955,4.5,89,233,TRUE,none,,,2,,TRUE,,,,
0,Anthem,AZ,33.8659744,-112.1366013,2.5,8,6,TRUE,beer_and_wine,quiet,casual,1,TRUE,FALSE,,FALSE,FALSE,
1,Mesa,AZ,33.3765345,-111.8778341,4.5,53,101,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Mesa,AZ,33.4237478,-111.7708538,1.5,11,21,TRUE,none,loud,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Cave Creek,AZ,33.8325285,-111.9409619,4.5,35,87,TRUE,full_bar,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Las Vegas,NV,36.1589913,-115.2003983,3.5,23,27,FALSE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,,
1,Phoenix,AZ,33.489048,-112.0742127,4,63,118,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,FALSE
1,Phoenix,AZ,33.5388124,-112.099566,4.5,59,63,TRUE,none,quiet,casual,1,TRUE,FALSE,,FALSE,,
1,Phoenix,AZ,33.4534895,-112.0711733,1.5,3,4,TRUE,none,loud,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Chandler,AZ,33.2332474,-111.8583223,4.5,12,15,TRUE,none,,,1,,,,,,
0,Las Vegas,NV,36.1669426,-115.1439972,3.5,11,146,TRUE,none,,,1,,,,TRUE,,
1,Charlotte,NC,35.2273874,-80.8420686,3,27,226,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Charlotte,NC,35.089838,-80.868412,3.5,36,139,TRUE,full_bar,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
0,Las Vegas,NV,36.1004847,-115.1841941,2.5,7,96,TRUE,none,,casual,1,FALSE,,,TRUE,,
0,Chandler,AZ,33.247,-111.84136,3,15,24,FALSE,none,,,3,,,,,,
1,Peoria,AZ,33.5642199,-112.2876832,4.5,43,77,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.464424,-112.113942,3,8,25,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.175,-115.136389,3.5,19,16,TRUE,none,average,casual,2,,FALSE,,FALSE,TRUE,
1,Scottsdale,AZ,33.64488,-111.91648,4,105,216,TRUE,full_bar,average,casual,3,FALSE,FALSE,,TRUE,FALSE,
1,Las Vegas,NV,36.124423,-115.146372,4.5,128,10,FALSE,full_bar,,formal,4,FALSE,TRUE,,FALSE,,FALSE
1,Montral,QC,45.4963161,-73.5758144,3.5,10,24,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Scottsdale,AZ,33.6119344,-111.9271523,3.5,23,54,TRUE,none,quiet,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,Tempe,AZ,33.4237298,-111.9396558,4.5,62,234,TRUE,none,average,casual,2,FALSE,,,TRUE,TRUE,
1,Henderson,NV,36.00054,-115.10561,3.5,11,72,FALSE,none,quiet,casual,1,FALSE,,,TRUE,,
1,Dorval,QC,45.4554359,-73.7517577,3,5,12,TRUE,full_bar,average,casual,3,FALSE,TRUE,,FALSE,,
0,Las Vegas,NV,36.1141128,-115.170815,4,4,11,TRUE,none,,,3,,,,,,
0,Pittsburgh,PA,40.456127,-80.006524,4,5,6,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,,
0,Peoria,AZ,33.6377963,-112.2173889,3.5,19,233,TRUE,none,,,1,,,,,,
1,Queen Creek,AZ,33.2476249,-111.6246047,3,4,6,TRUE,none,,,,TRUE,,,FALSE,FALSE,
1,Henderson,NV,35.99411094,-115.0998504,4,332,1297,FALSE,none,average,casual,1,FALSE,,,TRUE,TRUE,
1,Phoenix,AZ,33.56792144,-112.1503428,3.5,3,11,TRUE,full_bar,average,,1,,TRUE,outdoor,TRUE,,
1,Peoria,AZ,33.6100313,-112.2356244,3.5,12,17,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Montreal,QC,45.5024519,-73.5610142,3.5,35,29,TRUE,none,average,casual,3,FALSE,TRUE,,FALSE,,
0,Phoenix,AZ,33.523623,-112.098978,4.5,3,40,TRUE,none,,,2,,,,,,
1,Las Vegas,NV,36.066304,-115.255162,4,48,318,TRUE,full_bar,average,casual,2,FALSE,FALSE,yes,FALSE,TRUE,FALSE
0,Las Vegas,NV,36.1646345,-115.1165321,3,3,21,TRUE,none,,,1,,,,,,
1,Edinburgh,EDH,55.949436,-3.211985,4,16,24,TRUE,full_bar,,,2,,TRUE,,FALSE,FALSE,
1,Tempe,AZ,33.4335365,-111.9044607,3,20,46,FALSE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Las Vegas,NV,36.052079,-115.2792265,4,113,635,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Chandler,AZ,33.3336827,-111.8775741,3.5,126,310,TRUE,full_bar,average,casual,2,TRUE,TRUE,,FALSE,TRUE,FALSE
